entity,kind,alpha,lam,energy_ha
CO,molecule,0.01,0.05,-113.19747411450372
CO,molecule,0.01,0.1,-113.55710978854727
CO,molecule,0.01,0.2,-114.25153900078168
CO,molecule,0.02,0.0,-112.56265581720369
CO,molecule,0.02,0.05,-112.93226815125216
CO,molecule,0.02,0.1,-113.29358143874249
CO,molecule,0.02,0.2,-113.99244298401892
HCl,molecule,,,-460.11030298127696
HCl,molecule,0.001,0.0,-460.43591434449945
HCl,molecule,0.001,0.05,-461.29881729121274
HCl,molecule,0.001,0.1,-462.1408426828998
HCl,molecule,0.001,0.2,-463.7626673002053
HCl,molecule,0.005,0.0,-460.3360947847637
HCl,molecule,0.005,0.05,-461.20044268101384
HCl,molecule,0.005,0.1,-462.0440548154829
HCl,molecule,0.005,0.2,-463.66960280854835
HCl,molecule,0.01,0.0,-460.2121142614586
HCl,molecule,0.01,0.05,-461.07835275440186
HCl,molecule,0.01,0.1,-461.9240130115371
HCl,molecule,0.01,0.2,-463.5542709067903
HCl,molecule,0.02,0.0,-459.96660972075574
HCl,molecule,0.02,0.05,-460.83682616316764
HCl,molecule,0.02,0.1,-461.68672777584163
HCl,molecule,0.02,0.2,-463.3264978689181
H2S,molecule,,,-398.7442208505274
H2S,molecule,0.001,0.0,-399.053336732349
H2S,molecule,0.001,0.05,-400.00968572775344
H2S,molecule,0.001,0.1,-400.9360913006388
H2S,molecule,0.001,0.2,-402.7007141894499
H2S,molecule,0.005,0.0,-398.935265777348
H2S,molecule,0.005,0.05,-399.8948405914022
H2S,molecule,0.005,0.1,-400.82455235158017
H2S,molecule,0.005,0.2,-402.59616224244877
H2S,molecule,0.01,0.0,-398.78935086888526
H2S,molecule,0.01,0.05,-399.75302339943534
H2S,molecule,0.01,0.1,-400.6869198303321
H2S,molecule,0.01,0.2,-402.46729648059386
H2S,molecule,0.02,0.0,-398.5026708348587
H2S,molecule,0.02,0.05,-399.4746251026747
H2S,molecule,0.02,0.1,-400.4169458841932
H2S,molecule,0.02,0.2,-402.2147893527212
LiF,molecule,,,-107.05849461662082
LiF,molecule,0.001,0.0,-107.17411450247161
LiF,molecule,0.001,0.05,-107.43158186093541
LiF,molecule,0.001,0.1,-107.68147191486646
LiF,molecule,0.001,0.2,-108.15879258510992
LiF,molecule,0.005,0.0,-107.0376753861326
LiF,molecule,0.005,0.05,-107.29681341842449
LiF,molecule,0.005,0.1,-107.54845608691429
LiF,molecule,0.005,0.2,-108.02951596653661
LiF,molecule,0.01,0.0,-106.86852231977556
LiF,molecule,0.01,0.05,-107.12977046329871
LiF,molecule,0.01,0.1,-107.38360272152815
LiF,molecule,0.01,0.2,-107.86929124828549
LiF,molecule,0.02,0.0,-106.53480273980227
LiF,molecule,0.02,0.05,-106.80038962325565
LiF,molecule,0.02,0.1,-107.05864627219034
LiF,molecule,0.02,0.2,-107.55351347069345
